TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
Gravitation,,,Japonés (Sub esp),13,1,"Shonena-ai, drama, comedia",
Grisaia no Kajitsu,Le Fruit de Grisaia,,Japonés (Sub esp),13,1,"Acción, suspenso, harem, ecchi",
Grisaia no Meikyuu,Le Labyrinthe de la Grisaia,Segunda Temporada,Japonés (Sub esp),Pelicula,1,"Acción, suspenso, harem, ecchi",
Grisaia no Rakuen,Le Eden de la Grisaia,Tercera Temporada,Japonés (Sub esp),10,1,"Acción, suspenso, harem, ecchi",
GTO,Great Teacher Onizuka,,Japonés (Sub esp),43,2,"Comedia, escolar, slice of life",
Gugure! Kokkuri-san!,,,Japonés (Sub esp),12,1,"Comedia, romance, fantasía",
Guilty Crown,,,Japonés (Sub esp),22 + Especial,2,"Acción, sci-fi, romance",
Gunbuster,,,Japonés (Sub esp),6,1,"Mecha, sci-fi, soap opera",
Gunbuster 2,Diebuster,,Japonés (Sub esp),6,1,"Acción, mecha, comedia",
Gundam  Wing,,,Español,49 + 3 OVA,3,"Mecha, acción",
Gundam SEED,,,Japonés (Sub esp),50 + OVA,4,"Acción, mecha, drama",
Gundam SEED Destiny,,,Japonés (Sub esp),51,4,"Acción, mecha, drama",
Gundam SEED Destiny Special Edition,,,Japonés (Sub esp),4 Peliculas,1,"Acción, mecha, drama",
"Gundam Unicorn, Mobile Suit",,,Japonés (Sub esp),7,1,"Acción, mecha, suspenso",
GYO - Tokyo Fish Attack,,,Japonés/inglés,Pelicula,1,"Horro, sci-fi, acción, gore",
Hadi Girl,,,Japonés (Sub esp),10,1,"Comedia, romance",
Haibane no Renmei,,,Japonés (Sub esp),13,1,"Misterio, suspenso, psicológico",
Haikyuu!,,,Japonés (Sub esp),25,2,"Deportes, slice of life",
Haiyore Nyaruko-san,,,Japonés (Sub esp),12,1,"Comedia, romance, ecchi",
Haiyore Nyaruko-san W,,,Japonés (Sub esp),12,1,"Comedia, romance, ecchi",
Hajime no Ippo,,Primera Temporada,Español,75,3,"Deportes, slice of life",
Hajime no Ippo Champion Road,,Pelicula,Japonés (Sub esp),Pelicula,1,"Deportes, slice of life",
Hajime no Ippo New Challenger,,Segunda Temporada,Japonés (Sub esp),26,2,"Deportes, slice of life",
Hajime no Ippo Rising,,Tercera Temporada,Japonés (Sub esp),25,2,"Deportes, slice of life",
Hakuoki Hekketsuroku,,Segunda Temporada,Japonés (Sub esp),10,1,"Samurai, tragedia romance, herem invertido",
Hakuoki Reimeiroku,,Tercera Temporada,Japonés (Sub esp),12,1,"Samurai, tragedia romance, herem invertido",
Hakuoki Sekkaroku,,OVAS,Japonés (Sub esp),6,1,"Samurai, tragedia romance, herem invertido",
Hakuoki Shinsengumi Kitan,,Primera Temporada,Japonés (Sub esp),12,1,"Samurai, tragedia romance, herem invertido",
Hakushaku to Yousei,,,Japonés (Sub esp),12,1,"Romance, fantasía, suspenso",
HAL,,,Japonés (Sub esp),Pelicula,1,"Romance, drama, fantasía",
HALO Legends,,,Japonés/Inglés,8 Peliculas,1,"Acción, aventura, espacial",
Hamatora,,Primera Temporada,Japonés (Sub esp),12,1,"Misterio, acción, sobrenatural",
Hanamonogatari,,Quinta Temporada,Japonés (Sub esp),5,1,"Sobrenatural, acción, suspenso, comedia",
Hanasakeru Seishounen,,,Japonés (Sub esp),39,3,"Drama, romance, harem invertido",
Hanbun no Tsuki ga Noboru Sora,Hantsuki,,Japonés (Sub esp),6,1,"Drama, romance, slice of life",
Hataraku no Maou-sama,,,Japonés (Sub esp),13,1,"Comedia, fantasía",
Hatsukoi Limited,,,Japonés (Sub esp),12,1,"Romance, drama, escolar, comedia",
Hayate no Gotoku,Hayate the Combat Butler,Primera Temporada,Japonés (Sub esp),52,3,"Comedia, Romance, Harem",
Hayate no Gotoku Cuties,,Cuarta temporada,Japonés (Sub esp),12,1,"Comedia, Romance, Harem",
Hayate no Gotoku!!,Hayate the Combat Butler,Segunda Temporada,Japonés (Sub esp),25,2,"Comedia, Romance, Harem",
He is my master,Kore ga watashi no goushajin sama,,Japonés (Sub esp),12,1,"Comedia, ecchi, romance",
Heart no Kuni no Alice - Wonderful Wonder World,,,Japonés (Sub esp),Pelicula,1,"Comedia, fantasía, romance, harem invertido, bishounen",
HEIDI,,,Español,52,4,"Drama, slice of life",
Hell Girl,,Primera Temporada,Japonés (Sub esp),26,2,"Sobrenatural, suspenso, misterio, thriller",
Hell Girl (Español),,Primera Temporada,Español,26,2,"Sobrenatural, suspenso, misterio, thriller",
Hell Girl Futakomori,,Segunda Temporda,Japonés (Sub esp),26,2,"Sobrenatural, suspenso, misterio, thriller",
Hell Girl Live Action,,,Japonés (Sub esp),12,1,"Sobrenatural, suspenso, misterio, thriller",
Hell Girl Mitsuganae,,Tercera Temporada,Japonés (Sub esp),26,2,"Sobrenatural, suspenso, misterio, thriller",
Hellsing,,,Español/Japonés,13,1,"Acción, sobrenatural, misterio, thriller",
"Hellsing, Ultimate",Ultimate Hellsing,,Japonés (Sub esp),10 + 3 Omakes,3,"Acción, sobrenatural, misterio, thriller",
Hentai Ouji to Warawanai Neko,,,Japonés (Sub esp),12,1,"Fantasía, romance, comedia, ecchi",
Heroic Age,,,Japonés (Sub esp),26,2,"Acción, mecha, sci-fi, romance",
Hidan no Aria,Aria the Scarlet Ammo,,Japonés (Sub esp),13,1,,
Higashi no Eden,Eden of the east,,Japonés (Sub esp),11,1,"Suspenso, acción, aventura, romance",
High School DXD,,Primera Temporada,Japonés (Sub esp),12,1,"Sobrenatural, comedia, romance, ecchi",
High School DXD BorN,,Tercera Temporada,Japonés (Sub esp),12,1,"Sobrenatural, comedia, romance, ecchi",
High School DXD New,,Segunda Temporada,Japonés (Sub esp),12,1,"Sobrenatural, comedia, romance, ecchi",
High School DXD OVAS,,Primera Temporada - Especiales y OVAs,Japonés (Sub esp),2 OVA + 6 Especiales,1,"Sobrenatural, comedia, romance, ecchi",
Highschool of the Dead,HOTD,,Japonés (Sub esp),12 + OVA,1,"Acción, supervivencia, ecchi",
Higurashi no na Ku koro ni,,,Japonés (Sub esp),26 + OVA,2,"Misterio, terror, sobrenatural",
Higurashi no na ku koro ni Kira,,,Japonés (Sub esp),4,1,"Misterio, terror, sobrenatural",
Higurashi no naku koro ni Kai,,,Japonés (Sub esp),24,1,"Misterio, terror, sobrenatural",
Hiiro no Kakera,,,Japonés (Sub esp),13,1,"Romance, fantasía, harem invertido",
Hiiro no Kakera 2,,,Japonés (Sub esp),13,1,"Romance, fantasía, harem invertido",
Historias de Fantasmas,Gakko no Kaidan,,Español,26,2,"Sobreantural, terror, misterio",
Hitsugi no Chaika,,,Japonés (Sub esp),12,1,"Aventura, acción, comedia",
Hitsugi no Chaika - Avenging Battle,,Segunda Temporda,Japonés (Sub esp),12,1,"Aventura, acción, comedia",
Holic,,Primera Temporada,Japonés (sub esp),24,2,"Sobrenatural, fantasía, misterio, crossover",
Holic (Español),,Primera Temporada,Español,24,2,"Sobrenatural, fantasía, misterio, crossover",
Holic Kei,,Segunda Temporada,Japonés (Sub esp),12,1,"Sobrenatural, fantasía, misterio, crossover",
Holic Manatsu no Yoru no Yume,,Pelicula,Japonés (Sub esp),Pelicula,1,"Sobrenatural, fantasía, misterio, crossover",
Holic Shunmuki + Rou,,Tercera y Cuarta Temporada,Japonés (Sub esp),2+1,1,"Sobrenatural, fantasía, misterio, crossover",
"Hols, El principe del sol",,GHIBLI,Español/Japones,Pelicula,1,"Fantasía, aventura",
Hora de Aventura,Adventure Time,6  Temporadas,Español,156,7,"Aventura, fantasía, comedia",
Hoshi O ou Kodomo,Children who Chase Voices from deep below,,Japonés (Sub esp),Pelicula,1,"Aventura, fantasía, romance",
Hotarubi no mori e,,,Japonés (Sub esp),Pelicula,1,"Romance, drama, sobrenatural",
Hozuki no Reitetsu,,,Japonés (Sub esp),12,1,"Comedia, sobrenatural",
HunterXHunter,,Primera Temporada,Japonés (Sub esp),62 + 8 OVA,3,"Aventura, acción, fantasía",
HunterXHunter (2014),,,Japonés (Sub esp),,9,"Aventura, acción, fantasía",
Hyakka Ryoran Samurai Bride,,Segunda Temporada,Japonés (Sub esp),12 + 6 oamkes,1,"Acción, comedia, romance, ecchi",
Hyakka Ryoran Samurai Girl,,Primera Temporada,Japonés (Sub esp),12,1,"Acción, comedia, romance, ecchi",
Hybrid Child,,,Japonés (Sub esp),4,1,"Shonen-ai, drama, romance",Relacionado co Junjou Romantica y Sekaiichi Hatsukoi.
Hyouka,,,Japonés (Sub esp),22,2,"Escolar, misterio, slice of life",
Hyperdimension Neptunia,Choujigen Game Neptune,,Japonés (Sub esp),12,1,"Acción, fantasía, ecchi",
Ichiban Uchiro Daimaou,,,Japonés (Sub esp),12 + 6 OVA,1,"Comedia, sobrenatural, ecchi",
Ikkitousen,,,Japonés (Sub esp),13,1,"Shonen, acción, ecchi",
Ikkitousen Dragon Destiny,,,Japonés (Sub esp),12 + 6 OVA,1,"Shonen, acción, ecchi",
Ikkitousen Great Guardians,,,Japonés (Sub esp),12 + 6 OVA,1,"Shonen, acción, ecchi",
Ikkitousen Xtreme Xecutor,,,Japonés (Sub esp),12 + 6 OVA,1,"Shonen, acción, ecchi",
Inari Kon Kon Koi Iruha,,,Japonés (Sub esp),10,1,"Comedia, romance, fantasía, slice of life",
Inazuma Eleven,,,Español y Japones,127,7,"Deportes, acción, fantasía",
Infinite Stratos,,,Japonés (Sub esp),12,1,"Acción, mechas, sci-fi, ecchi",
Infinite Stratos 2,,,Japonés (Sub esp),12,1,"Acción, mechas, sci-fi, ecchi",
Initial D,,,Español,26,2,"Acción, carreras de autos",
Initial D Fourth Stage,,,Japonés (Sub esp),24,2,"Acción, carreras de autos",
Initial D Second Stage,,,Español/Japonés,13,1,"Acción, carreras de autos",
Inou Battle wa Nichijou-kei no Naka,,,Japonés (Sub esp),12,1,"Comedia, aventura, acción, poderes, romance",
Interlude,,,Japonés (Sub esp),3,1,"Acción, sobrenatural, gore",
Interstella 5555,,,Inglés (Musica),Short Movie,1,"Videos Musicales, espacial, aventura",
Inu to Hasami wa Tsukaiyou,,,Japonés (Sub esp),12,1,"Comedia, fantasía, harem",
Inu X Boku SS,,,Japonés (Sub esp),12,1,"Sobrenatural romance, ecchi",
Inuyasha,,,Español,167,10,"Aventura, romance, fantasía, sobrenatural",
Inuyasha Kanketsu-hen,,Segunda Temporada,Japonés (Sub esp),26,2,"Aventura, romance, fantasía, sobrenatural",
Inuyasha: El amor que trasciende en el timepo,,Pelicula 1,Japonés/Español,Pelicula,1,"Aventura, romance, fantasía, sobrenatural",
Inuyasha: El Castillo de los Sueños en el Espejo,,Pelicula 2,Japonés/Español,Pelicula,1,"Aventura, romance, fantasía, sobrenatural",
Inuyasha: Fuego en la Isla Mistica,,Pelicula 4,Japonés/Español,Pelicula,1,"Aventura, romance, fantasía, sobrenatural",
Inuyasha: La Espada Conquistadora,,Pelicula 3,Japonés/Español,Pelicula,1,"Aventura, romance, fantasía, sobrenatural",
"Irirya no Sora, UFO no natsu",,,Japonés (Sub esp),6,1,"Drama, comedia, sci-fi",
IRON MAN,,,Japonés (Sub esp),12,1,Acción,
Is it wrong to try to pick-up girls in a dungeon?,Danmachi | Dungeon ni deai wo motomeru no wa machigatteiru darou ka?,,Japonés (Sub esp),13,1,"Acción, fantasía, romance, ecchi",
Isshukan Friends,,,Japonés (Sub esp),11,1,"Comedia, slice of life",
Itazura na Kiss,,,Japonés (Sub esp),25,2,"Romance, drama, comedia",
Ixion Saga,,,Japonés (Sub esp),26,2,"Acción, fantasía",
Jojo's Bizarre Adventures - Stardust Crusaders,,Tercera Saga,Japonés (Sub esp),25,2,,
Jormungand,,Primera Temporada,Japonés (Sub esp),12,1,,
Jormungand Perfect Order,,Segunda Temporada,Japonés (Sub esp),12,1,,
Junjou Romantica,,,Japonés (Sub esp),12,1,,
Junjou Romantica 2,,,Japonés (Sub esp),12,1,,
Junketsu no Maria,,,Japonés (Sub esp),12,1,,
K Project,,,Japonés (Sub esp),13,1,,
Kaichou wa Maid-sama,,,Japonés (Sub esp),26,2,,
Kaleido Star,,,Español y Japones,49 + 3 Ova + Extras,5,,
Kami nomi zo Shiru Sekai,,Primera Temporada,Japonés (Sub esp),12,1,,
Kami nomi zo Shiru Sekai II,,Segunda Temporada,Japonés (Sub esp),12,1,,
Kami nomi zo shiru Sekai Megami Hen,,Tercera Temporada,Japonés (Sub esp),12 + OVA + 3 Especiales,1,,
Kamigami no Asobi,,,Japonés (Sub esp),13,1,,
Kamisama Hajimemashita,,,Japonés (Sub esp),13,1,,
Kamisama Hajimemashita 2,,Segunda Temporada,Japonés (Sub esp),12,1,,
Kamisama no memo-chou,,,Japonés (Sub esp),12,1,,
Kampfer,,Primera Temporada,Japonés (Sub esp),12,1,,
Kampfer Fur Die Liebe,,Segunda Temporada,Japonés (Sub esp),2 + 7 especiales,1,,
Kanokon,,,Japonés (Sub esp),12,1,,
Kanon,,,Japonés (Sub esp),24,2,,
Karas,,,Japonés (Sub esp),6 Peliculas,1,,
Kare Kano,Kareshi to Kanojo no Jijou,,Japonés (Sub esp),26,2,,
Karen Senki,,,Japonés (Sub esp),11,1,,
Karin,,,Japonés (Sub esp),25,2,,
Karneval,,,Japonés (Sub esp),13,1,,
Katekyo Hitman Reborn!,Reborn!,,Japonés (Sub esp),203 + OVA,1,,
Kaze no Stigma,,,Japonés (Sub esp),24,2,,
Kenichi,,,Español,50,3,,
Kenichi OVAS,,,Japonés (Sub esp),10,1,,
Kenzen Robo Daimidaler,,,Japonés (Sub esp),12,1,,
Kiba,,,Español,51,3,,
Kiki Entregas a Domicilio,,,Español,Pelicula,1,,
Kikou Shoujo wa Kizutsukanai,Unbreakable Machine Doll,,Japonés (Sub esp),12,1,,
Kill la Kill,,,Japonés (Sub esp),24,2,,
Kimagure Orange Road,,,Japonés (Sub esp),,3,,
Kimi ga nozomu eien Next Season + Akane Maniax,,Segunda Temporda y Spin-off,Japonés (Sub esp),3 + 4,1,,
Kimi ga Nozumu Eien,Kiminozo | Rumbling Hearts,Primera Temporada,Japonés (Sub esp),14,1,,
Kimi ni Todoke,,Primera Temporada,Japonés (Sub esp),25,2,,
Kimi ni Todoke 2nd,,Segunda Temporada,Japonés (Sub esp),13,1,,
Kimi no iru machi,,,Japonés (Sub esp),12 + 2 OVA,1,,
"King of Fighter Another Day, The",,,Japonés (Sub esp),4,1,,
"King of Pigs, The",,,Japonés (Sub esp),Pelicula,1,,
King of Thron,,,Japonés (Sub esp),Pelicula,1,,
Kingdom,,Primera Temporada,Japonés (Sub esp),38,3,,
Kiseijuu: Sei no Kakuritsu,,,Japonés (Sub esp),25,2,,
KissXSis,,Segunda Temporada,Japonés (Sub esp),12,1,,
KissXSis OVAS,,Primera Temporada,Japonés (Sub esp),10,1,,
Kitakubu Katsudou Kiroku,,,Japonés (Sub esp),12,1,,
Kobato,,,Japonés (Sub esp),24,2,,
K-ON!,,Primera Temporada,Japonés (Sub esp),13,1,,
K-ON! Movie,,Pelicula,Japonés (Sub esp),Pelicula,1,,
K-ON!!,,Segunda Temporada,Japonés (Sub esp),26,2,,
Kore wa Zombie desu ka?,,,Japonés (Sub esp),12,1,,
Kore wa Zombie desu ka? Of DEATH,,,Japonés (Sub esp),11 + OVA 00,1,,
"Kumou no Mukou, Yakusoku no Basho",The place promised in our early days,,Japonés (Sub esp),Pelicula,1,,
Kurogane no Linebarrels,,,Japonés (Sub esp),24,2,,
Kurokami,,,Japonés (Sub esp),24,2,,
Kuroko no Basuke,The Basketball which Kuroko plays,Primera temporada,Japonés (Sub esp),25,2,,
Kuroko no Basuke 2nd,The Basketball whick Kuroko Plays,Segunda Temporada,Japonés (Sub esp),13,1,,
Kuroko no Basuke 3rd Season,,Tercera Temporada,Japonés (Sub esp),25,2,,
Kuroshitsuji,Black Butler,Primera temporada,Japonés (Sub esp),24,2,,
Kuroshitsuji II,Black Butler,Segunda Temporada,Japonés (Sub esp),12 + 2 OVA,1,,
Kuroshitsuji II OVAS,Black Butler,Segunda Temporada OVAS,Japonés (Sub esp),5 OVA + 4 Extras,1,,
Kuroshitsuji Live Action,Black Butler,Pelicula,Japonés (Sub esp),Pelicula,1,,
Kuroshitsuji: Book of Murderer,,Cuarta Temporda,Japonés (Sub esp),2,1,,
Kyokai no Kanata,,,Japonés (Sub esp),12,1,,
Kyousougiga,,,Japonés (Sub esp),10,1,,
La Colina de las Amapolas,Kokuriko Zaka Kara,,Japonés (Sub esp),Pelicula,1,,
La Corda d'Oro,,Primera Temporada,Japonés (Sub esp),25,2,,
La Corda d'Oro Blue Sky,,Tercera Temporada,Japonés (Sub esp),12,1,,
La Princesa Mononoke,Mononoke Hime,,Español/Japonés,Pelicula,1,,
La Tumba de las Luciernagas,Grave of Fireflies,,Español/Japonés,Pelicula,1,,
Las Guerreras Mágicas,Rayearth,,Español/Japonés,49 + 3 OVA,3,,
LOCODOL,Futsu no Joshikousei ga LOCODOL yattemita,,Japonés (Sub esp),12,1,,
LOG Horizon,,,Japonés (Sub esp),25,2,,
LOG Horizon 2,,Segunda Temporada,Japonés (Sub esp),25,1,,
Love Hina,,3 Disco con OVAS,Japonés (Sub esp),25,2,,
Love Live! School Idol Project,,Primera Temporada,Japonés (Sub esp),13,1,,
Love Live! School Idol Project 2,,Segunda Temporada,Japonés (Sub esp),13,1,,
Love Stage!!,,,Japonés (Sub esp),10,1,,
Loveless,,,Japonés (Sub esp),12 + 6 omakes,1,,
Lovely Complex,,,Japonés (Sub esp),24,2,,
Lovely Idol,,,Japonés (Sub esp),12,1,,
Lucky Star,,,Japonés (Sub esp),24 + OVA,2,,
M3 - Sono Kuroki no Hagane,,,Japonés (Sub esp),25,2,,
Macross Frontier,,,Japonés (Sub esp),25,2,,
Macross Frontier Sayonara no Tsubasa,,Pelicula 2,Japonés (Sub esp),Pelicula,1,,
Macross Zero,,,Japonés (Sub esp),5,1,,
Madan no Ou to Vanadis,,,Japonés (Sub esp),26,1,,
Magi - The Kingdom of Magic,,Segunda Temporada,Japonés (Sub esp),25,2,,
Magi - The Labyrinth of Magic,,Primera Temporda,Japonés (Sub esp),25,2,,
Mahou Sensou,,,Japonés (Sub esp),12,1,,
Mahou Shoujo Madoka Magica,Puella Magi Madoka Magica,,Japonés (Sub esp),12,1,,
Mahou Shoujo Madoka Magica Movie 1,Beginnings,Primera pelicula,Japonés (Sub esp),Pelicula,1,,
Mahou Shoujo Madoka Magica Movie 2,Eternal,Segunda Pelicula,Japonés (Sub esp),Pelicula,1,,
Mahou Shoujo Madoka Magica Movie 3,Rebellion,Tercera Pelicula,Japonés (Sub esp),Pelicula,1,,
Mahouka Koukou no Rettousei,,,Japonés (Sub esp),26,2,,
Maji de Watashi na Koi shinasai,,,Japonés (Sub esp),12,1,,
Majin Bone,,,Japonés (Sub esp),26,2,,
Maken-ki!,,Primera Temporada,Japonés (Sub esp),12 + OVA,1,,
Maken-ki! Two,,Segunda Temporada,Japonés (Sub esp),12,1,,
Mangaka-san to Assistant-san to,,,Japonés (Sub esp),12,1,,
Maoyuu Maou Yuusha,,,Japonés (Sub esp),12,1,,
Mardock Scramble,,,Japonés (Sub esp),3 Peliculas,3,,
Marginal Princess,,,Japonés (Sub esp),13,1,,
Maria Holic,,,Japonés (Sub esp),12,1,,
Maria Holic Alive,,,Japonés (Sub esp),12,1,,
Maria-sama ga Mitteru,,Serie Completa con OVAS,Japonés (Sub esp),44 + 29 omakes,4,,
Marmalade Boy,,4 Temporadas,Español,76 + Pelicula,3,,
Mayo Chiki,,,Japonés (Sub esp),12,1,,
Mazinger Z,,,Español,92 + Pelicula,5,,
Mazinkaiser SKL,,,Japonés (Sub esp),3,1,,
Medabots,,,Español,39,3,,
Medaka Box,,Primera Temporada,Japonés (Sub esp),12,1,,
Medaka Box Abnormal,,Segunda Temporada,Japonés (Sub esp),12,1,,
Meganebu!,,,Japonés (Sub esp),12,1,,
Meine Liebe,,Primera Temporada,Japonés (Sub esp),13,1,,
Meine Liebe Wieder,,Segunda Temporada,Japonés (Sub esp),13,1,,
Mekaku City Actors,,,Japonés (Sub esp),13,1,,
Mermaid Forest,,,Japonés (Sub esp),13,1,,
Mew Mew Power,Tokyo Mew Mew,,Japonés (Sub esp),52,4,,
Mi vecino Totoro,Tonari no Totoro,,Español/Japonés,Pelicula,1,,
Midori,,,Japonés (Sub esp),Pelicula,1,,
Midori no Hibi,,,Japonés (Sub esp),13,1,,
"Mikami, la caza fantasmas",Ghost Sweeper Mikami,,Español,45 + Pelicula,4,,
Minami- ke,,Primera Temporada,Japonés (Sub esp),13,1,,
Minami-ke Okaeri,,Tercera Temporada,Japonés (Sub esp),13,1,,
Minami-ke Okawari,,Segunda Temporda,Japonés (Sub esp),13,1,,
Minami-ke Tadaima,,Cuarta Temporda,Japonés (Sub esp),13,1,,
Miracle train,,,Japonés (Sub esp),13,1,,
Mirai Nikki,,,Japonés (Sub esp),26,2,,
Mirmo Zibang!,,,Español,172,9,,
Mitsudomoe,,Primera Temporada,Japonés (Sub esp),14,1,,
Mitsudomoe  Zoryochu,,Segunda Temporada,Japonés (Sub esp),8,1,,
MM!,,,Japonés (Sub esp),12+ 6 especiales + 3 omake,1,,
Mnemosyne,,,Japonés (Sub esp),6,1,,
Momo Kyun Sword,,,Japonés (Sub esp),12,1,,
Mondaiji-tachi ga Isekai Kara Kuru Sou desu yo,,,Japonés (Sub esp),10,1,,
Monochrome Factor,,,Japonés (Sub esp),24,2,,
Monogatari Series - Second Season,,"Cuarta Temporada, para secuela vease Nekomonogatari",Japonés (Sub esp),26,2,,
Monster,,,Japonés (Sub esp),74,3,,
Monster Rancher,,,Español,73,4,,
Mouretsu Pirates,,,Japonés (Sub esp),26,2,,
Murder Princess,,,Japonés (Sub esp),6,1,,
Mushi-shi,,Primera Temporda,Español,26,2,,
Muv-Luv Total Eclipse,,,Japonés (Sub esp),24,2,,
Mythical Detective Loki Ragnarok,,,Español/Japonés/Ingles (Sub esp/ing),26,2,,
Nabari no Ou,,,Japonés (Sub esp),26,2,,
Nagi no asukara,,,Japonés (Sub esp),26,2,,
Naruto,,,Japonés (Sub esp),220,11,,
NARUTO (Español),,,Español,220,11,,
Naruto Movies 1,,Pelicula 1 - El rescate de la Princesa de la Nieve | Pelicula 2: Las ruinas ilusorias en el fondo de la tierra,Japonés (Sub esp),2 Peliculas + 4 Ova,1,,
Naruto Movies 2,,Pelicula 3  :Panico animal en la isla de la luna creciente | Pelicula 4: La muerte de Naruto,Japonés (Sub esp),2 Peliculas,1,,
Naruto Movies 3,,Pelicula 5: Lazos | Pelicula 6: La voluntad del fuego sigue ardiendo,Japonés (Sub esp),2 Peliculas,1,,
Naruto Movies 4,,Pelicula 7: La torre Perdida (Lost Tower),Japonés (Sub esp),Pelicula,1,,
Naruto Movies 5,,Pelicula 8: Prision de Sangre (Blood Prision),Japonés (Sub esp),Pelicula,1,,
Naruto Movies 6,,Pelicula 9: Road to ninja (Camino Ninja),Japonés (Sub esp),Pelicula,1,,
Naruto Movies 7,The Last,Pelicula,Japonés (Sub esp),Pelicuka,1,,
Naruto Shippuden,,,Japonés (Sub esp),370/??,19,,
Natsume Yuujin Chou,,Primera Temporada,Japonés (Sub esp),13,1,,
"Natsume Yuujin Chou, Zoku",,Segunda Temporada,Japonés (Sub esp),13,1,,
Natsume Yuujinchou Shi,,Cuarta Temporada,Japonés (Sub esp),13,1,,
Natsume Yuujn Chou San,,Tercera Temporada,Japonés (Sub esp),13,1,,
Natsuyuki Rendezvous,,,Japonés (Sub esp),11,1,,
Nausicaa del Valle del Viento,,,Español/Japonés,Pelicula,1,,
Needless,,,Japonés (Sub esp),24,2,,
Negima,,Tercer disco con OVAs,Japonés (Sub esp),26 + 7 OVAS,3,,
Nekomonogatari,,"Tercera Temporada, Para segunda temporada vease Nisemonogatari",Japonés (Sub esp),4,1,,
Neo Angelique Abyss,,Primera Temporda,Japonés (Sub esp),13,1,,
Neo Angelique Abyss - Second Age,,Segunda Temporda,Japonés (Sub esp),13,1,,
Neppu Kairiku Bushi Road,,,Japonés (Sub esp),Pelicula,1,,
