TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
Ninja resurrection,,,Español/Inglés,Pelicula,1,,
Ninja Scroll,,,Japonés/Español/Inglés,Pelicula,1,,
Nisekoi,,,Japonés (Sub esp),12,1,,
Nisekoi S2,,Segunda Temporada,Japonés (Sub esp),3 OVA + 12,1,,OVAS de laTemporada 1
Nisemonogatari,,"Segunda Temporada, para primera temporada vease Bakemonogatari",Japonés (Sub esp),11,1,,
"No Game, No Life",,,Japonés (Sub esp),12,1,,
No. 6,,,Japonés (Sub esp),11,1,,
Nobunaga the Fool,,,Japonés (Sub esp),25,2,,
Nobunagun,,,Japonés (Sub esp),13,1,,
Nodame Contabile Paris-hen,,,Japonés (Sub esp),11,1,,
Nogizaka Haruka no Himitsu,,Primera Temporda,Japonés (Sub esp),12,1,,
Noragami,,,Japonés (Sub esp),13,1,,
"Nube, el maestro del infierno",Jigoku Sensei Nube,,Japonés (Sub esp),48,3,,
Nyan koi!,The Nyan koi show,,Japonés (Sub esp),12,1,,
Nyanpire,,,Japonés (Sub esp),12,1,,
Oda Nobuna no Yabou,,,Japonés (Sub esp),12,1,,
Omamori Himari,,,Japonés (Sub esp),12,1,,
One Outs,,,Japonés (Sub esp),25,2,,
One Piece,,,Japonés (Sub esp),650/??,25,,
One Piece 3DY2,,,Japones (Sub esp),Pelicula,1,,
One Piece Dream 9,,Dream 9: GokuXLuffyXToriko | Especial de Nami | Especial de Luffy,Japonés (Sub esp),4 Especiales,1,,
One Piece Especiales y OVAs,,,Japonés (Sub esp),9,1,,
One Piece Movies,,,Japonés (Sub esp),12 Peliculas,7,,
Oneechan ga kitta,,,Japonés (Sub esp),12 + OVA,1,,
Onegai Teacher!,,,Japonés (Sub esp),13,1,,
Onegai Twins!,,,Japonés (Sub esp),13,1,,
Only Yesterday,Omohide Poro Poro,,Español/Japones,Pelicula,1,,
Ookami kakushi,,,Japonés (Sub esp),12,1,,
Ookami shoujo to Kuro Ouji,,,Japonés (Sub esp),12,1,,
Ookami-san to shichinin no nakamatachi,Ookami-san and her seven companions,,Japonés (Sub esp),12,1,,
Ore no Imouto ga Konna Kawaii wake ga nai,Oreimo,Primera Temporada,Japonés (Sub esp),13 + OVA,1,,
Ore no Imouto ga Konna Kawaii wake ga nai 2,Oreimo,Segunda Temporada,Japonés (Sub esp),13,1,,
Ore no kanojo to osanajimi ga shuraba sugiru,,,Japonés (Sub esp),12,1,,
Ore no Nounai Sentakushi ga Gakuen Love-Comedy wo Zenryoku de Jama Shiteiru,NOUCOME,,Japonés (Sub esp),10,1,,
Ore Twintail ni Narimasu,,,Japonés (Sub esp),12,1,,
Orenchi no Furo Jijou,,,Japonés (Sub esp),12,1,,
Oretachi wa Tsubasa wa nai,Under the innocent sky,,Japonés (Sub esp),12,1,,
Otome Youkai Zakuro,,,Japonés (Sub esp),13,1,,
Ouran Highschool Host Club,,,Japonés (Sub esp),26,2,,
Over Drive,,,Japonés (Sub esp),26,2,,
Pandora Hearts,,,Japonés (Sub esp),25 + 6 oamkes,2,,
Panty and Stocking with Garterbelt,,,Japonés (Sub esp),13 + OVA,1,,
Papa no iu koto wo kikinasai,Papakiki,,Japonés (Sub esp),26,1,,
Papa to kiss in the Dark,,,Japonés (Sub esp),2,1,,
Paprika,,,Español/Japonés/Inglés/Otros,Pelicula,1,,
Paradise Kiss,,,Japonés (Sub esp),12,1,,
Paranoia Agent,,,Japonés (Sub esp),13,1,,
Parasite Dolls,,,Español/inglés,Pelicula,1,,
Patlabor - Policia Especial,,,Español,47,3,,
Perfect Blue,,,Japonés / Español,Pelicula,1,,
Persona 4 - The Animation,,,Japonés (Sub esp),25,2,,
Persona Trinity Soul,,,Japonés (Sub esp),26,2,,
Petshop of Horrors,,,Japonés (Sub esp),4,1,,
Photo Kano,,,Japonés (Sub esp),12,1,,
Pokemon 16 - Diancie y la Crisalida de la Destrucción,,Pelicula 16,Japonés (Sub esp),Pelicula,1,,
Pokemon M01 - Mew vs Mew Two,,Mew/Mew Two,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M02 - La Pelicula 2000,,Lugia/articuno/Moltres/Zapdos,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M03 - El secreto de los Unknown,,Entei,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M04 - Celebi y la Voz del Bosque,,Celebi/Suicune,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M05 - Heroes,,Latios/Latias,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M07 - El Destino de Deoxys,,Deoxys,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M08 - Lucario y el Misterio de Mew,,Lucario/Mew,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M09 - Ranger y el Templo del Mar,,,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M11 - Giratina y el Defensor de los Cielos,,Giratina/Shaymin,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M12 - Arceus y la Joya de la Vida,,Arceus/Dialga/Palkia/Giratina,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M13 - Zoroark el Maestro de las Ilusiones,,Zoroark,Español/Inglés y o Japones,Pelicula,1,,
Pokemon M14 - Black and White,,Victiny/Zekrom/Reshiram,Español y Japones,Pelicula,1,,
Pokemon M15 - Kyurem vs La espada de la Justicia,,Kyurem/Keldeo,Japonés (Sub esp),Pelicula,1,,
Pokemon Origins,,,Español/Japonés (Sub esp),4,1,,
Pokemon T1,,,Español,82,4,,
Pokemon T10,,Temporada 10,Español,51,3,,
Pokemon T2,,,Español,36,2,,
Pokemon T3,,,Español,41,2,,
Pokemon T4,,,Español,52,3,,
Pokemon T5,,,Español,65,4,,
Pokemon T6,,,Español,40,3,,
Pokemon T7,,,Español,52,3,,
Pokemon T8,,,Español,52,4,,
Pompoko,,,Español/Japonés,Pelicula,1,,
Ponyo en el Acantilado,,,Español/Japonés,Pelicula,1,,
Porco Rosso,,,Español/Japonés,Pelicula,1,,
"Portrait de la Petit Cossette, Le",,,Japonés (Sub esp),3,1,,
Princess Lover,,,Japonés (Sub esp),12,1,,
Princess Lover Omakes,,,Japonés (Sub esp),2 OVA + 18 Especiales,1,,
Princess Princess,,,Japonés (Sub esp),12,1,,
Psycho-Pass,,Primera Temporada,Japonés (Sub esp),22,2,,
Psycho-Pass 2,,Segunda Temporada,Japonés (Sub esp),11,1,,
Puedo escuchar el mar,Umi ga kikoeru,,Español/Japonés,Pelicula,1,,
Pulgarcita,,,Español,Pelicula,1,,
Pupipo,,,Japonés (Sub esp),15,1,,
Queens Blade - Gyokuza wo Tsugumono,,Segunda Temporada,Japonés (Sub esp),12,1,,
Queens Blade - Rebellion,,Cuarta Temporada,Japonés (Sub esp),12,1,,
Queens Blade - Rurou no Senshi,,Primera Temporada,Japonés (Sub esp),6 OVA + 12 omake,1,,
Queens Blade - Utsukushiki Toushi-tachi,,Tercera Temporada,Japonés (Sub esp),12,1,,
R-15,,,Japonés (Sub esp),12,1,,
Ragnarok,,,Japonés (Sub esp),26,2,,
RAINBOW Niwa shichi-nin no nakamatachi,RAINBOW,,Japonés (Sub esp),26,2,,
Ranma 1/2,,,Español,161,9,,
Ranma 1/2 OVAS,,,Japonés (Sub esp),13,1,,
Ranma 1/2 Peliculas,,,Español,2,1,,
Ray - the Animation,,,Japonés (Sub esp),13,1,,
Red Line,,,Japonés (Sub esp),Pelicula,1,,
Requiem for the Phantom,,,Japonés (Sub esp),26,1,,
Revolutionary Girl Utena,Seishojo Ryouki Utena,,Japonés (Sub esp),39,2,,
Revolutionary Girl Utena Movie,,,Japonés (Sub esp),Pelicula,1,,
Rinne no Lagrange,,Primera temporada,Japonés (Sub esp),12,1,,
Rinne no Lagrange Season 2,,SegundaTemporada,Japonés (Sub esp),12,1,,
Robotech,,,Japonés (Sub esp),85,5,,
Robotech Movies,,,Japonés (Sub esp),,1,,
Rokujouma no Shinryakusha!,,,Japonés (Sub esp),12,1,,
Romeo X Juliet,,,Japonés (Sub esp),24,2,,
Rosario to Vampire,,,Japonés (Sub esp),13,1,,
Rosario to Vampire CAPU2,,,Japonés (Sub esp),13,1,,
Rozen Maiden,,Primera temporada,Japonés (Sub esp),12,1,,
Rozen Maiden Overture,,Tercera Temporada,Japonés (Sub esp),2,1,,
Rozen Maiden Traumend,,Segunda Temporada,Japonés (Sub esp),12,1,,
Rozen Maiden Zuruckspulen,,Cuarta Temporada,Japonés (Sub esp),13,1,,
Ryuugajou Nanana no Maizoukin,Nanana's Buried Treasure,,Japonés (Sub esp),13,1,,
Saikano,Mi novia el arma definitiva,,Japonés (Sub esp),13 + 2 OVA,1,,
Saikano (Español),Mi novia El arma Definitiva,,Español,13 + 2 OVA,1,,
Saikano Live Action,Mi novia el arma definitiva,,Japonés (Sub esp),Pelicula,1,,
Saikin Imouto no Yousu ga Chotto Okashinda ga,,,Japonés (Sub esp),13,1,,
Sailor Moon,,,Español,200,15,,
Sailor Moon Movies,,,Español,3,1,,
Saint Seiya - Asgard,,,Español/Japonés,27,3,,
Saint Seiya - Doce Casas,,,Español/Japonés,34,3,,
Saint Seiya - El Lienzo Perdido,Saint Seiya Lost Canvas,,Español/Japonés,26,2,,
Saint Seiya - Hades,,,Español/Japonés,31,3,,
Saint seiya - Poseidon,,,Español/Japonés,15,2,,
Saint Seiya - Torneo Galactico,Los Caballeros del Zodiaco,Primera Temporada,Español/Japonés,39,3,,
Saint Seiya Movies,,,Español/Japonés,5,1,,
Saint Seiya Omega,,,Japonés (Sub esp),97,8,,
Saint Seiya: Legend of Sanctuary,Los Caballeros del Zodiaco: La Leyenda del Santuario,,Español/Japonés (Sub esp),Pelicula,1,,
Saint Tail,,,Español,43,3,,
"Sakura, Card Captor",,,Español,70,4,,
"Sakura, Card Captor M1",,,Español/Japonés,Pelicula,1,,
"Sakura, Card Captor M2",,,Español/Japonés/Portugués,Pelicula,1,,
Sakurasou no Pet na kanojo,,,Japonés (Sub esp),24,2,,
Samurai 7,,,Español/Japonés,26,2,,
Samurai Champloo,,,Español/japonés,26,2,,
Samurai Flamenco,,,Japonés (Sub esp),25,2,,
Samurai X,Rurouni Kenshin,,Español,95,5,,
Samurai X - Movie,Rurouni Kenshin Ishi Shishi e no Requiem,,Español/Japonés,Pelicula,1,,
Samurai X - Remembranzas,Rurouni Kenshin Tsuiokuhen | Seisouhen,,Japonés (Sub esp),5,1,,
"Sandybell, Hola",,,Español,47,2,,
Sankarea,,,Japonés (Sub esp),12 + OVA,1,,
Sanzoku no Musume Ronja,,,Japonés (Sub esp),26,2,,
Sasami-san@Ganbarenai,,,Japonés (Sub esp),12,1,,
Sayonara Zetsubou sensei,,Tres temporadas,Japonés (Sub esp),38 + 5 OVA,3,,
School Days,,,Japonés (Sub esp),12,1,,
School Rumble,,Primera Temporada,Japonés (Sub esp),26,2,,
School Rumble Nii Gakki | San Gakki,,Segunda y Tercera Temporada,Japonés (Sub esp),26 + 2,2,,
Seikoku no Dragonar,,,Japonés (Sub esp),13,1,,
Seikon no Qwaser,Qwaser of the Stigmata,,Japonés (Sub esp),24 + OVA,2,,
Seikon no Qwaser II,Qwaser of the Stigmata II,,Japonés (Sub esp),12,1,,
Seirei Tsukai no Blade Dance,,,Japonés (Sub esp),12,1,,
Seirei Tsukai no World Dance,,,Japonés (Sub esp),13,1,,
Sekai Seifuku - Bouryaku no Zvezda,,,Japonés (Sub esp),13,1,,
Sekaiichi Hatsukoi,,Primera Temporada,Japonés (Sub esp),12 + 2 especiales,1,,
Sekaiichi Hatsukoi - Yokozawa Takafumi no Baai,,Pelicula,Japonés (Sub esp),Pelicula,1,,
Sekaiichi Hatsukoi 2,,Segunda Temporada,Japonés (Sub esp),12,1,,
Sekirei,,Primera Temporada,Japonés (Sub esp),12 + OVA,1,,
Sekirei Pure Engagement,,Segunda Temporada,Japonés (Sub esp),13 + Especial,1,,
Selector Infected WIXOSS,,,Japonés (Sub esp),13,1,,
Sengoku no Basara,,Primera Temporada,Japonés (Sub esp),12,1,,
Sengoku no Basara 2,,Segunda Temporada,Japonés (Sub esp),12,1,,
Sengoku Otome Momoiro Paradox,,,Japonés (Sub esp),13,1,,
Seraph of the End,Owari no Seraph,,Japonés (Sub esp),24,2,En emision,
Serial Experiments LAIN,,,Japonés (Sub esp),13,1,,
Shakugan no Shana,,Primera Temporada,Japonés (Sub esp),24 + Pelicula,2,,
Shakugan no Shana II Second,,Segunda Temporada,Japonés (Sub esp),24 + 5 OVA,2,,
Shakugan no Shana III Final,,Tercera Temporada,Japonés (Sub esp),24,2,,
Shaman King,,,Español,64,4,,
Shigatsu wa kimi ga uso,,,Japonés (Sub esp),22,2,,
Shigurui,,,Japonés (Sub esp),12,1,,
Shiki,,,Japonés (Sub esp),22,2,,
Shingeki no Bahamut,,,Japonés (Sub esp),12,1,,
Shingeki no Kyojin,Attack of Titans,,Japonés (Sub esp),25,2,,
Shingetsutan Tsukihime,,,Japonés/Español,12,1,,
Shining Hearts,,,Japonés (Sub esp),12,1,,
Shinrei Tantei Yakumo,,,Japonés (Sub esp),13,1,,
Shirogane no Ishi Argevollen,,,Japonés (Sub esp),25,2,,
Shounen Hollywood - Holly Stage 49,,,Japonés (Sub esp),13,1,,
Silver Spoon,Gin no Saji,Primera Temporada,Japonés (Sub esp),11,1,,
Silver Spoon 2nd,Gin no Saji 2nd,Segunda Temporada,Japonés (Sub esp),11,1,,
Sket Dance,,,Japonés (Sub esp),77,6,,
Skip Beat,,,Japonés (Sub esp),25,2,,
Slam Dunk,,,Español,102 + OVA,4,,
So Ra No Wo To,,,Japonés (Sub esp),12,1,,
Sokyuu no Fafner,Dead agressor,,Japonés (Sub esp),25,2,,
SOLA,,,Japonés (Sub esp),13 + 2 especiales,1,,
Sora no Method,,,Japonés (Sub esp),13,1,,
Sora no Otoshimono,,Primera Temporada,Japonés (Sub esp),13 + OVA,1,,
Sora no Otoshimono Final,,Segunda Pelicula,Japonés (Sub esp),Pelicula,1,,
Sora no Otoshimono Forte,,Segunda Temporada,Japonés (Sub esp),12,1,,
Sora no Otoshimono Tokei Jikake no angeloid,,Pelicula,Japonés (Sub esp),Pelicula,1,,
Sore Demo Sekai wa Utsukushii,Still world is beautiful,,Japonés (Sub esp),13,1,,
Soul Eater,,,Japonés (Sub esp),51,4,,
Soul Eater Not!,,Spin-off,Japonés (Sub esp),12,1,,
Speed Grapher,,No apto para menores de 15 años,Español,24,2,,
Star Driver,,,Japonés (Sub esp),25,2,,
STEAMBOY,,,Español/Japonés,Pelicula,1,,
Steins;Gate,Steins Gate,,Japonés (Sub esp),24 + OVA,2,,
Strawberry Panic!,,,Japonés (Sub esp),26,2,,
Street Fighter II,,,Español,29,2,,
Street Fighter Movies,,Peliculas,Español Y Japonés (Sub esp),4,1,,
Strike The Blood,,,Japonés (Sub esp),24,2,,
Suisei no Gargantia,,,Japonés (Sub esp),,1,,
Sukisyo,Suki na mono wa suki dakara shouganai,Shonen-ai,Japonés (Sub esp),12 + OVA,1,,
Sukitte iinayo,,,Japonés (Sub esp),13,1,,
Summer Wars,,,Japonés (Sub esp),Pelicula,1,,
Sumomomo momomo,,,Japonés (Sub esp),22 + 2 OVA,2,,
Super Campeones,,Primera Temporada,Español,128,7,,
Super Campeones J,,Segunda Temporada,Español,46,3,,
Super Campeones Mundial Juvenil,,Pelicula,Español,Pelicula,1,,
Super Campeones Road to 2002,,Tercera Temporada,Español,52,3,,
Super Seisyun Brothers,,,Japonés (Sub esp),12,1,,
Susurros del Corazon,Whisper of the Heart,,Español/Japonés,Pelicula,1,,
Suzumiya Haruhi no Shoushitsu,,Pelicula Tercera Temporada,Japonés (Sub esp),Pelicula,1,,
Suzumiya Haruhi no Yuutsu,,Primera y Segunda Temporada,Japonés (Sub esp),28,2,,
Sword Art Online,SAO,Primera Temporada,Japonés (Sub esp),25 + Especial,2,,
Sword Art Online Extra Edition,SAO Extra Edition,Pelicula Temporada Intermedia,Japonés (Sub esp),Pelicula,1,,
Sword Art Online II,,Segunda Temporada,Japonés (Sub esp),25,2,,
Sword of the Stranger,Muko Hadan,,Japonés (Sub esp),Pelicula,1,,
Tactics,,,Japonés (Sub esp),26,1,,
Tales of the Abyss,,,Japonés (Sub esp),26,2,,
Tasogare Otome Amnesia,Dusk Maiden of Amnesia,,Japonés (Sub esp),12,1,,
Tengen Toppa Gurren Lagan,,,Japonés (Sub esp),27 + OVA,2,,
Tenjho Tenge,,,Japonés (Sub esp),24+ 2 OVA,2,,
Terra Formars,,,Japonés (Sub esp),13 + 2 OVA,1,,
The Book of Bantorra,,,Japonés (Sub esp),27,2,,
The Garden of Words,Kotonoha no niwa,,Japonés (Sub esp),Pelicula,1,,
The Last Unicorn,El Ultimo Unicornio,,Español,Pelicula,1,,
The Legend of the Blue Wolves,Ookami-tachi no Densetsu,,Japonés (Sub esp),Pelicula,1,,
The Sacred BlackSmith,Seiken no Blacksmith,,Español/Japones,12,1,,
The Seven Deadly sins,Nanatsu no Taizai,,Japonés (Sub esp),24,1,,
The Twelve Kingdoms,,,Español/Japonés,45,4,,
The Wind Rises,Kaze no Tachuni | El viento se levanta,GHIBLI,,Pelicula,1,,
They are my Noble Masters,Kimi ga Aruji de sHitsuji ga Ore de,,Japonés (Sub esp),13,1,,
Thundercats,,,Español,52/130,2,,
To Aru Kagaku no Railgun,,Serie Alterna - Primera Temporada,Japonés (Sub esp),24 + OVA,2,,
To Aru Kagaku no Railgun S,,Serie Alterna - Segunda Temporada,Japonés (Sub esp),24,2,,
To Aru Majutsu Index,,Primera Temporada,Japonés (Sub esp),24,2,,
To Aru Majutsu Index II,,Segunda Temporada,Japonés (Sub esp),24,2,,
To Aru majutsu Index Movie,,,Japonés (Sub esp),Pelicula,1,,
To Heart,,Primera Temporada,Japonés (Sub esp),13,1,,
To Heart Remember my Memories,,Segunda Temporada,Japonés (Sub esp),13,1,,
To Love Ru,,Primera Temporada,Japonés (Sub esp),26,2,,
To Love Ru Darkness,,Tercera Temporada,Japonés (Sub esp),12 + 2 OVA,1,,
To Love Ru Darkness OVAs,,OVAS de la tercera temporada,Japonés (Sub esp),5,1,,
To Love Ru OVAS,,Primera Temporada,Japonés (Sub esp),6,1,,
"To Love Ru, Motto",,Segunda Temporada,Japonés (Sub esp),12,1,,
Togainu no Chi,,,Japonés (Sub esp),12,1,,
Tohou,,,Japonés (Sub esp),2 OVA + Especial,1,,
Toki wo Kakeru Shoujo,La chica que saltaba en el tiempo,,Japonés (Sub esp),Pelicula,1,,
Tokko,,,Español,13,1,,
Tokyo 8.0,,,Japonés (Sub esp),11,1,,
Tokyo Babylon,,,Japonés (Sub esp),2,1,,
Tokyo ESP,,,Japonés (Sub esp),12,1,,
Tokyo Ghoul,,,Japonés (Sub esp),12,1,,
Tokyo Ghoul A,,Segunda Temporada,Japonés (Sub esp),12,1,,
Tokyo Godfathers,,,Español/Japonés,Pelicula,1,,
Tokyo Majin Gakuen Kenpuchou,,Primera Temporada,Japonés (Sub esp),14,1,,
Tokyo Majin Gakuen Kenpuchou 2nd Act,,Segunda Temporada,Japonés (Sub esp),14,1,,
Tokyo Ravens,,,Japonés (Sub esp),24,2,,
Tonagura,,,Japonés (Sub esp),13,1,,
Tonari no Kaibutsu-kun,,,Japonés (Sub esp),13,1,,
Toradora!,,,Japonés (Sub esp),25,2,,
Towa no Quon,,,Japonés (Sub esp),6 Peliculas,1,,
Trigun,,,Español/Japonés,26,2,,
Trinity Blood,,,Japonés (Sub esp),24,2,,
Trinity Seven,,,Japonés (Sub esp),12,1,,
Tsubasa Reservoir Chronicle,,Primera Temporada,Japonés (Sub esp),26,1,,
Tsubasa Reservoir Chronicle 2,,Segunda Temporada,Japonés (Sub esp),26,2,,
Tsubasa Reservoir Chronicle Shunraiki,,Cuarta Temporada,Japonés (Sub esp),2 + Pelicula,1,,
Tsubasa Reservoir Chronicle Tokyo Revelations,,Tercera Temporada,Japones o Español,3,1,,
Tsukimonogatari,,Sexta Temporada,Japonés (Sub esp),,1,,
Tsuritama,,,Japonés (Sub esp),12,1,,
"Ultramarines: Warhammer 40,000","Warhammer 40,000",,Español/inglés,Pelicula,1,,
Umineko no na ku koro ni,,"Precuela, para secuela vease Higurashi no na ku koro ni",Japonés (Sub esp),26,2,,
UN-GO,,,Japonés (Sub esp),11,1,,
Uragiri wa Boku no Namae Shitteiru,URABOKU,,Japonés (Sub esp),24,2,,
Ushinawareta Mirai wo Motomete,,,Japonés (Sub esp),12,1,,
Uta wa Prince-sama Maji Love 1000%,,Primera Temporada,Japonés (Sub esp),12,1,,
Uta wa Prince-sama Maji Love 2000%,,Segunda Temporada,Japonés (Sub esp),13,1,,
Valvrave The Liberator,,Primera Temporada,Japonés (Sub esp),12,1,,
Valvrave The Liberator 2,,Segunda Temporada,Japonés (Sub esp),12,1,,
Vampire Hunter D,,Primera Pelicula,Esapñol/Japonés,Pelicula,1,,
Vampire Hunter D Blood Lust,,Segunda Pelicula,Español / Inglés,Pelicula,1,,
Vampire Knight,,Primera Temporada,Japonés (Sub esp),13,1,,
Vampire Knight Guilty,,Segunda Temporada,Japonés (Sub esp),13,1,,
Vampire Princess Miyu,,,Japonés (Sub esp),26,2,,
Vassalord,,,Japonés (Sub esp),Pelicula,1,,
Violence Jack,,,Japonés (Sub esp),3,1,,
VOCALOID - Miku no Hi 39 Thank's Giving Day,,,Japones,Concierto,2,,
VOCALOID - Videografia 1,,,Japonés,39,1,,
VOCALOID - Videografia 2,,,Japones,40,1,,
"Wake up, Girls!",WUG!,,Japonés (Sub esp),12 + Pelicula,1,,
Walkure Romanze,,,Japonés (Sub esp),12,1,,
WATAMOTE,Watashi ga Motenai no wa dou kangaetemo omaera ga warui!,,Japonés (Sub esp),12,1,,
White Album,,,Japonés (Sub esp),13,1,,
White Album 2,,,Japonés (Sub esp),13,1,,
Witch Craft Works,,,Japonés (Sub esp),12,1,,
Witch Hunter robin,,,Japonés (Sub esp),26,2,,
Witchblade,,,Japonés (Sub esp),24,2,,
Wolf Children - Ame to yuki,Ookami kodomo no ame to yuki,,Japonés (Sub esp),Pelicula,1,,
Wolf's Rain,,,Japonés (Sub esp),30,2,,
Wolverine,,,Español,12,1,,
Wonderful Days,Sky Blue,,Coreano (Sub español),Pelicula,1,,
Wooser no Sono Higurashi Kakusei-Hen,,egunda Temporada,Japonés (Sub esp),12,1,,
World Trigger,,,Japonés (Sub esp),13,1,,
X / 1999,,,Japonés (Sub esp),24 + Ova,2,,
Yahari ore no Seishun Love come wa Machigatteiru,Yahari Love,,Japonés (Sub esp),13,1,,
Yamato Nadeshiko Shichihenge,The Wallflower,,Japonés (Sub esp),25,2,,
Yami no Matsuei,,,Japonés (Sub esp),12,1,,
Yami Shibai,Historias de Fantasmas Japoneses,Primera Temporada,Japonés (Sub esp),13,1,,
Yoake Mae Yori Ruri Iro na Crescent Love,Brighter than Dawning Blue,,Japonés (Sub esp),12,1,,
Yosuga no Sora,,,Japonés (Sub esp),13,1,,
Yozakura Quartet - Hana no Uta-,,Remake,Japonés (Sub esp),13,1,,
Yu-Gi-Oh!,,,Español,224,15,,
Yu-Gi-Oh! 10th Movie,,Pelicula de aniversario,Japonés (Sub esp),Pelicula,1,,
Yu-Gi-Oh! 5D's,,,Español y Japonés,154,8,,
Yu-Gi-Oh! Capsule Monsters,,,Japones e Inglés,12,1,,
Yu-Gi-Oh! GX,,,Español,180,9,,
Yu-Gi-Oh! Movie,La piramide de la Luz,,Español/Inglés,Pelicula,1,,
Yumekui Merry,,,Japonés (Sub esp),13,1,,
Yu-Sibu,Yuusha ni Narenakatta ore wa shibushibu Shushoku o Ketsui Shimashita,,Japonés (Sub esp),12,1,,
Yuu Yuu Hakusho,,,Español,112,6,,
Yuu Yuu Hakusho Movies,,,Español/Japonés,2,1,,
Zankyou no Terror,,,Japonés (Sub esp),11,1,,
Zero no Tsukaima,,Primera temporada,Japonés (Sub esp),13,1,,
Zero no Tsukaima F,,Cuarta Temporada,Japonés (Sub esp),12,1,,
Zero no Tsukaima Futatsuki no Kishi,,Segunda Temporada,Japonés (Sub esp),12,1,,
Zero no Tsukaima Princesses no Rondo,,Tercera Temporada,Japonés (Sub esp),12 + OVA,1,,
ZETMAN,,,Japonés (Sub esp),13,1,,
Zetsuen no Tempest,,,Japonés (Sub esp),24,2,,
Zettai Bouei Leviathan,,,Japonés (Sub esp),12,1,,
Zettai Karen Children,,Primera Temporada,Japonés (Sub esp),52,3,,
Zettai Karen Children - The Unlimited,,Segunda Temporada,Japonés (Sub esp),12,1,,
Zoids Chaotic Century,,Primera Temporada,Español,34,2,,
Zoids Fuzors,,Cuarta temporada,Español,26,2,,
Zoids Genesis,,Quinta Temporada,Japonés (Sub esp),50,3,,
Zoids Guardian Force,,Segunda Temporada,Español,31,2,,
Zoids New Century / Zero,,Tercera Temporada,Español,26,2,,
Zombie Loan,,,Japonés (Sub esp),11,1,,
ZX / Ignition,,,Japonés (Sub esp),12,1,"Fantasía, aventura",